index,eigenvalue,jacobi_eigenvalue
1,3.2626437440010175e-05,0.00017934359162211634
2,0.0013148739356862037,0.0073135319302881285
3,0.0015727501125584356,0.008631296087678328
4,0.003992822421688321,0.02580640202362185
5,0.008814235445418414,0.05863968372060907
6,0.013634385904615775,0.0749957714139445
7,0.017125841259248955,0.10896467516469485
8,0.022590993194641123,0.14911152675839498
9,0.028765799952933203,0.17953905529479544
10,0.028806904827781397,0.18726814824880353
11,0.029544319229821776,0.22243734568956558
12,0.0360621163379165,0.23771476897221766
13,0.039719859963652286,0.26126128133440696
14,0.042137701366334074,0.28479682125334327
15,0.043061906999390144,0.28799792290516296
16,0.04499063244480063,0.29526978881508853
17,0.04614377756073337,0.30487460172084296
18,0.04964425646206469,0.32757560097513927
19,0.05391893633534285,0.3500941320516414
20,0.056442606035826015,0.3636423141862507
21,0.06057033364927703,0.41820718006002217
22,0.06252876203390116,0.42812811949058
23,0.06505057739463464,0.4365277018970607
24,0.06609561095867518,0.4472517778448049
25,0.07144297332180582,0.46971861750097127
26,0.0730693244119372,0.5054146305407579
27,0.07706041146412904,0.5195834186654508
28,0.08047474952756306,0.5326420795776975
29,0.08346748984072737,0.5697974255005381
30,0.08679556691352926,0.5861766980239671
31,0.08831049873631792,0.6037995059178604
32,0.09088800863224489,0.6111252664775432
33,0.09258623488072167,0.6505006610393687
34,0.09447843830711032,0.6524746598281913
35,0.09730051430603893,0.6549500326887071
36,0.09953803747746842,0.6636480424350408
37,0.10192635390706259,0.66957378508447
38,0.10413312379742518,0.6816889293268293
39,0.10498720444470036,0.6909714661563948
40,0.10632169666300163,0.6984934338692496
41,0.10716948203692196,0.7065697363323348
42,0.1085701946355028,0.7237882737383384
43,0.11154066854265225,0.7382640834947873
44,0.11291543857201193,0.757835370360545
45,0.12384654065203461,0.7620906037778398
46,0.12444115384189969,0.7684073204037722
47,0.1250629288147152,0.7749536483270888
48,0.12574400653540282,0.7767080674739959
49,0.12609718302475806,0.7848576250400303
50,0.130791561919643,0.787488009813471
51,0.1319926446891028,0.804010328777578
52,0.13230166324908912,0.8064802305973553
53,0.1348206024905662,0.8094852562916479
54,0.138445450408571,0.8248238302426334
55,0.14221753251833374,0.8308265784105642
56,0.14284829631408985,0.844457357135704
57,0.1450014089640202,0.8556405750198495
58,0.14965331008025276,0.8652121306878903
59,0.15369820085527466,0.8846672388682901
60,0.15383662367072348,0.8937357415866253
61,0.15784241741633076,0.9045440808828631
62,0.16026686782184907,0.9180869245084364
63,0.16498499287267385,0.9378225917196825
64,0.16624548967463484,0.9400028595052972
65,0.166676348719925,0.9489095414957426
66,0.16694416679703933,0.9612828993019861
67,0.17233200368772994,1.0005987457780237
68,0.17505574373219174,1.004388745902967
69,0.17719161571469286,1.0091421439625452
70,0.17798694837226864,1.0185916994264386
71,0.17805317807078413,1.0487107443981218
72,0.17894206205987462,1.0530572885754228
73,0.18342994367414892,1.0756052317196838
74,0.1867803146166404,1.085821809922988
75,0.18902119471022352,1.0943936598850343
76,0.191896883993028,1.110019424484005
77,0.19453469418441155,1.1138235591270107
78,0.19596678955510105,1.1140624364540688
79,0.19777728358791907,1.1313405250208113
80,0.1990341980776414,1.1368966644653924
81,0.20498996914360804,1.1391400083657106
82,0.20515790272471654,1.1524610861355684
83,0.21135342594335726,1.1667157299720232
84,0.21661389891439492,1.1751076694027216
85,0.21950508599289678,1.1883339121970433
86,0.2201851112475888,1.200402477674706
87,0.23286798663283487,1.2202989166311375
88,0.23880515064860533,1.2350408568644127
89,0.24631451358352668,1.2698960803763246
90,0.26059656945318704,1.2846015701539346
91,0.26431720390640934,1.2975685214793478
92,0.27211519340648926,1.3287735917467218
93,0.2805171974373027,1.3634699847524534
94,0.2827601605699568,1.4083958828449612
95,0.29047614357584967,1.487495800290546
96,0.29101731067785863,1.4885325445297282
97,0.3026053571677118,1.5315175013629974
98,0.3128270808966945,1.5636121010939978
99,0.3136240460858089,1.5768243184768505
100,0.31370284931770637,1.5969666052136338
101,0.31962458943028466,1.5971930378540466
102,0.3255996031039854,1.6058093597983043
103,0.33530934217712915,1.6174993423247825
104,0.33622968205729237,1.647399094308903
105,0.34097622786823617,1.6740553881109388
106,0.34835736545176216,1.7271393065472576
107,0.3484813845135062,1.7464858493124957
108,0.3539774325308197,1.7774503802382262
109,0.3562672618677283,1.7988921495853432
110,0.35824939681298346,1.8181582014582953
111,0.3655521011828172,1.846575983958532
112,0.3817934576632738,1.8746042531231002
113,0.3876985275096836,1.8881559877136922
114,0.40523919034273836,1.8945545249239035
115,0.4063422377472262,1.936293947037625
116,0.41238579339291065,1.9904764634336833
117,0.41933752081819464,2.006668674839888
118,0.43987879887527737,2.034637943865365
119,0.4502759177950551,2.0713227936352068
120,0.46359245691550766,2.1343464507634233
121,0.48173405614980014,2.1561239847653506
122,0.4851543490454844,2.1973868054555776
123,0.49310884398683663,2.217266897848814
124,0.5071262365887975,2.2321569925519418
