case,layout,nelx,nely,free_dofs,emin,lambda_min,lambda_max,kappa,min_eigen_backward_residual,max_eigen_backward_residual,spectrum_seconds,jacobi_kappa,jacobi_lambda_min,jacobi_lambda_max,jacobi_min_eigen_backward_residual,jacobi_max_eigen_backward_residual,reference_compliance,reference_residual,reference_solve_seconds
uniform_12x4,uniform,12,4,124,1e-09,3.2626437439863936e-05,0.5071262365887986,15543.414371352017,1.2776276857205558e-16,3.9507779622893945e-14,0.0019295660003990633,12446.26012216374,0.00017934359162050746,2.232156992551941,1.3156748016965952e-16,8.842523295068609e-12,935.7701816085012,1.4781588180935344e-13,0.00016516899995622225
uniform_24x8,uniform,24,8,440,1e-09,9.064675906813658e-06,0.537199099957481,59262.91303516807,1.2125707266777534e-16,9.04063405304305e-12,0.00430343200059724,51807.20702177094,4.3039469023989215e-05,2.229754681832907,1.367790939660818e-16,5.853734387850462e-11,975.8323192087763,4.0420725715125355e-13,0.0007227890000649495
uniform_48x16,uniform,48,16,1648,1e-09,2.3906320426984934e-06,0.5461673065412737,228461.46825873374,1.4163390632851605e-16,2.864750563738406e-11,0.01720909899995604,212347.52538367547,1.049510349471608e-05,2.2286092557485238,1.3733926437113003e-16,9.217935579678972e-11,1000.261841622744,1.0254049294137655e-12,0.004408089000207838
uniform_120x40,uniform,120,40,9880,1e-09,3.90913849345002e-07,0.5489041532296602,1404156.3228045765,1.5503582387712902e-16,4.647060486600642e-11,0.21781076499974006,1363443.2781314387,1.634411186828537e-06,2.2284269463841957,1.5567640281359918e-16,6.282401807745288e-11,1026.843060406392,2.786468605713253e-12,0.057370483000340755
optimized_120x40_Emin_1e-03,optimized,120,40,9880,0.001,1.873256588185985e-06,4.326941867204227,2309850.073125503,1.0692513853803441e-16,1.6646134114431248e-11,0.14555426000060834,1126502.2434213564,1.986147567415528e-06,2.237399690459462,1.5698161111476306e-16,3.847392746950962e-11,209.33082302925123,3.302811709897607e-12,0.06154344900005526
optimized_120x40_Emin_1e-06,optimized,120,40,9880,1e-06,3.3768753354583218e-09,4.3269377900031705,1281343656.536229,6.454802233133453e-20,1.6601094761942985e-11,0.1313711089997014,1131801.922739806,1.9770038363380727e-06,2.2375767432314033,1.5879150692480753e-16,3.5852090482515204e-11,210.03965237067837,3.3416945882141573e-12,0.054755518999627384
optimized_120x40_Emin_1e-09,optimized,120,40,9880,1e-09,3.642273502059333e-12,4.326937785928648,1187977175102.9153,6.662651672281522e-23,1.6600963534470413e-11,0.15522719399996276,1131809.9779048695,1.9769901136335962e-06,2.237577136829786,1.6223858819188777e-16,3.424304495955248e-11,210.04057115900133,3.3014073586187065e-12,0.06165066299945465
