iteration,relative_residual,relative_energy_gap
0,1.0,1.0
1,0.7857918361091223,0.9925988366470101
2,0.6567036050357041,0.9878513257294366
3,0.5659991421210103,0.98448210641949
4,0.4990340451872262,0.9819504275033857
5,0.44801759459534496,0.9799644023614605
6,0.40825020400485246,0.9783516555488041
7,0.37670960550423266,0.9770040174471688
8,0.35136185638262796,0.9758503237139554
9,0.3307837509104195,0.9748419217302523
10,0.3139437592417637,0.9739444885690628
11,0.3000708663141496,0.9731331856016076
12,0.28857408189487727,0.9723896644782399
13,0.27899167162605776,0.9717001445692749
14,0.27095801108588735,0.97105413518375
15,0.26418103367000006,0.9704435603406137
16,0.25842619429709107,0.9698621436418784
17,0.2535045856748456,0.9693049665449647
18,0.24926382903683214,0.9687681454860589
19,0.24558091943062832,0.9682485924432382
20,0.24235651849065945,0.9677438352739299
21,0.2395103628652869,0.967251881608301
22,0.2369775563784413,0.9667711149158479
23,0.234705573516223,0.9663002146149119
24,0.23265183985869362,0.9658380943148474
25,0.23078178152588455,0.965383853838206
26,0.2290672555924266,0.9649367417846442
27,0.22748528923567274,0.9644961261998305
28,0.22601706835616295,0.964061471507737
29,0.22464712719706448,0.9636323203004009
30,0.22336269947795725,0.9632082789103855
31,0.2221531990213069,0.9627890059369806
32,0.22100980400934622,0.962374203087965
33,0.21992512405959366,0.9619636078405852
34,0.21889293342279553,0.9615569875371621
35,0.21790795694228515,0.9611541346136472
36,0.2169656981038388,0.960754862727911
37,0.2160623006663345,0.9603590036029743
38,0.21519443709435157,0.9599664044399341
39,0.21435921839643637,0.9595769257887201
40,0.21355412107501756,0.9591904397842184
41,0.21277692777135668,0.958806828679193
42,0.21202567888659724,0.9584259836155693
43,0.2112986330143182,0.9580478035908353
44,0.2105942344602291,0.9576721945824039
45,0.20991108647422826,0.9572990688023408
46,0.20924792909760856,0.9569283440590369
47,0.20860362074866878,0.9565599432068728
48,0.2079771228451452,0.9561937936703574
49,0.20736748690116436,0.9558298270290531
50,0.2067738436472131,0.9554679786544632
51,0.20619539380987534,0.9551081873899641
52,0.2056314002584283,0.9547503952689346
53,0.20508118128156141,0.9543945472626175
54,0.20454410480235433,0.9540405910570829
55,0.2040195833755933,0.9536884768518846
56,0.2035070698403322,0.953338157179662
57,0.2030060535237485,0.9529895867431539
58,0.20251605691100447,0.9526427222680015
59,0.20203663271086073,0.9522975223681802
60,0.20156736125897345,0.9519539474242951
61,0.20110784821067243,0.9516119594715754
62,0.20065772248304922,0.9512715220985593
63,0.20021663441275314,0.9509326003519027
64,0.1997842541012287,0.9505951606516116
65,0.19936026992356423,0.9502591707102875
66,0.19894438718072663,0.9499245994602649
67,0.19853632687797207,0.9495914169856651
68,0.19813582461471374,0.9492595944591691
69,0.1977426295732004,0.9489291040836159
70,0.1973565035951071,0.9485999190374829
71,0.19697722033658457,0.9482720134246281
72,0.1966045644935632,0.9479453622268653
73,0.19623833109014363,0.9476199412600899
74,0.1958783248237855,0.9472957271330265
75,0.1955243594617756,0.9469726972083407
76,0.19517625728410454,0.9466508295680086
77,0.1948338485684328,0.9463301029775718
78,0.19449697111331096,0.946010496856124
79,0.19416546979625687,0.9456919912453751
80,0.1938391961636193,0.945374566782372
81,0.1935180080495183,0.9450582046729823
82,0.19320176922139784,0.9447428866669442
83,0.19289034904999253,0.9444285950341959
84,0.19258362220171507,0.9441153125439763
85,0.19228146835166718,0.9438030224422602
86,0.19198377191564436,0.9434917084335847
87,0.19169042179965903,0.9431813546617629
88,0.19140131116563355,0.9428719456922974
89,0.19111633721204477,0.9425634664959308
90,0.19083540096839904,0.9422559024325216
91,0.19055840710252195,0.9419492392363248
92,0.1902852637397283,0.9416434630018355
93,0.1900158822930174,0.941338560169869
94,0.18975017730351118,0.941034517515444
95,0.18948806629041454,0.940731322134903
96,0.18922946960983586,0.9404289614346668
97,0.1889743103218577,0.9401274231201989
98,0.18872251406529736,0.9398266951853114
