iteration,relative_residual,relative_energy_gap
0,1.0,1.0
1,0.8757712650241359,0.9903721883016227
2,0.6687767323314212,0.9875812757286689
3,0.6450267735835845,0.9856471092318346
4,0.5507803034884622,0.9838877614123075
5,0.5228654879658549,0.9827040035614182
6,0.44773185643318886,0.9815692242494565
7,0.45146375355677487,0.9807518253076984
8,0.42021087849779876,0.979816487599698
9,0.4135249761556407,0.9790906671027696
10,0.4246647359955452,0.9783172379484091
11,0.4564753813769499,0.9774494847132994
12,0.46928111097939346,0.9765015426386854
13,0.46071666344787404,0.9755504179856361
14,0.5137474921037869,0.974520360353998
15,0.4776771657807911,0.9733911539098974
16,0.503498107093461,0.9723929085687287
17,0.49595589663906586,0.971219495298969
18,0.5034316859378887,0.970171853730614
19,0.46721927265122526,0.969048681316721
20,0.48805969957489614,0.9681088977224552
21,0.47058092821157527,0.9669950628351904
22,0.5126448740498865,0.9659649258091132
23,0.49363757065276315,0.9647745685719182
24,0.5038135701989246,0.9637087264860826
25,0.47743539473320085,0.9626519891344222
26,0.47814934944258075,0.9616451040855554
27,0.48533274421407163,0.9606622006703763
28,0.4781059780525344,0.9596196466693084
29,0.48596786843383066,0.9585815729771235
30,0.47207605753000315,0.9575881169996817
31,0.48951446192955006,0.9565330051298739
32,0.4874347771231612,0.9554968146821547
33,0.4942871539624012,0.9543840726057635
34,0.4891222248229775,0.9533315793111652
35,0.4830318583256924,0.952234463042341
36,0.4829393582439718,0.9511822892949671
37,0.4755439134412269,0.9502007080671253
38,0.5101075946257505,0.9490455716098181
39,0.49795976385143254,0.9479667975720217
40,0.501903082816601,0.9468261976486124
41,0.5361512748475076,0.9456442049686764
42,0.4847717431019327,0.9444781493164167
43,0.5000698227228836,0.9433811293508798
44,0.4759271133301494,0.9423566483387616
45,0.47745386030967457,0.9413047047069216
46,0.4691893064740421,0.9403384071373022
47,0.4744134171104013,0.9393235351744922
48,0.4915995559529658,0.9383049925850496
49,0.4699945745258973,0.9372481980687423
50,0.46487586081838733,0.9363000446908133
51,0.46788903134015597,0.935345681312846
52,0.4381456545737321,0.9343969565457675
53,0.4347455765479761,0.9336065281278714
54,0.44866562817586,0.9327088202036604
55,0.4439785081765822,0.9318479136095539
56,0.4414399417985931,0.9309733502110688
57,0.4483686978640465,0.9301123976721236
58,0.48746397861264434,0.9291583746010622
59,0.509889388468517,0.9280329485881812
60,0.5180636761608398,0.926875277851423
61,0.5221632545414386,0.9256616495981667
62,0.4939290545452719,0.9244972885140593
63,0.4668822795735562,0.9234976464298691
64,0.4658389280864801,0.9225396466452342
65,0.4369332756347075,0.9216289980285622
66,0.4412666060793472,0.9207952368286564
67,0.44258816156077313,0.9199195067598083
68,0.442448991945534,0.9190458333895504
69,0.43335091834354816,0.9182008500500982
70,0.4420021822219332,0.9173656196988534
71,0.4483776861694819,0.9164868891583601
72,0.4397551658607055,0.9156068741037239
73,0.4441268579592581,0.9147358528556799
74,0.4539961504104427,0.9138452959277595
75,0.45175858181941714,0.9129040836598505
76,0.44315458703473176,0.9120555599540526
77,0.43595893013353865,0.911186324647158
78,0.4264653323471649,0.9103528565007081
79,0.4403591828784219,0.9095262285208623
