method,iterations,relative_residual,compliance,relative_displacement_error_vs_project1,relative_compliance_error_vs_project1
Project 1 direct,,3.4760196250283424e-12,210.0405711590014,0.0,0.0
Project 2 CG,1201,0.09508561589079509,206.31802404800524,0.45054602220721096,0.017722990803420383
Project 2 Jacobi-PCG,1201,9.268853248459159e-07,210.04057115641268,3.065922443454809e-05,1.2324790987072678e-11
