iteration,relative_residual,relative_energy_gap
0,1.0,1.0
1,0.7914957226950965,0.9828990731664626
2,0.4961049683459666,0.9785358574660591
3,0.5056859665987725,0.9761259979930104
4,0.3916451956257232,0.9744643140317986
5,0.41966866748918696,0.9731720281492956
6,0.34703250998427293,0.9720884074897077
7,0.3802506941559732,0.9711338174199668
8,0.32247243255364444,0.9702649099452973
9,0.3572317037863708,0.9694564512191369
10,0.3064057477392608,0.9686929268664576
11,0.34126154792854824,0.9679643252848293
12,0.29458294335465474,0.9672638917567711
13,0.32893626783194024,0.966586877176603
14,0.28520656858602406,0.9659298141315247
15,0.3188147836792553,0.9652900836946368
16,0.2774126333382616,0.9646656478514264
17,0.3101871089891234,0.9640548791328222
18,0.2707341402399256,0.9634564489046851
19,0.3026535973714594,0.9628692520061539
20,0.26489190191447176,0.9622923545087213
21,0.2959645131034105,0.9617249565566676
22,0.25970479163064547,0.9611663652926484
23,0.28995128602342507,0.9606159746866285
24,0.25504756449428095,0.9600732502023597
25,0.28449356969320255,0.9595377169227096
26,0.25082929317820724,0.9590089502029331
27,0.27950182597134043,0.9584865682021091
28,0.2469814694491989,0.95797022583816
29,0.27490733060313466,0.9574596098350326
30,0.24345097814360228,0.9569544346246329
31,0.2706560401541,0.9564544389219418
32,0.24019569603699042,0.9559593828391186
33,0.2667046184960202,0.955469045437395
34,0.23718159392491553,0.954983222632903
35,0.2630177471769967,0.9545017253978452
36,0.23438074889306368,0.9540243782036659
37,0.2595662396321836,0.9535510176691219
38,0.2317699356891674,0.9530814913795075
39,0.2563256811361217,0.9526156568515314
40,0.22932960250653228,0.9521533806216359
41,0.25327542536226605,0.9516945374410071
42,0.2270431110096966,0.9512390095611232
43,0.25039784019775313,0.9507866860992171
44,0.22489616312659094,0.9503374624708415
45,0.24767773210744404,0.9498912398833449
46,0.22287636275657238,0.9494479248800516
47,0.24510190098923063,0.9490074289314223
48,0.220972876615735,0.9485696680656245
49,0.24265879198541154,0.9481345625343892
50,0.2191761689271486,0.9477020365109688
51,0.2403382203342191,0.9472720178151468
52,0.21747779173884643,0.9468444376634301
53,0.23813115189656575,0.9464192304405469
54,0.2158702175573125,0.9459963334924504
55,0.236029526560224,0.9455756869343291
56,0.21434670445735832,0.9451572334770124
57,0.23402611497051373,0.9447409182655933
58,0.21290118632864136,0.9443266887320886
59,0.2321144013826683,0.9439144944596672
60,0.21152818274002444,0.9435042870560616
61,0.23028848714945946,0.9430960200390665
62,0.21022272424237595,0.9426896487269197
63,0.2285430106309867,0.9422851301403891
64,0.20898028992315668,0.9418824229093611
65,0.2268730802664046,0.9414814871868578
66,0.20779675476681256,0.9410822845694927
67,0.22527421826678204,0.9406847780220544
68,0.2066683449307064,0.9402889318084039
69,0.2237423129355981,0.9398947114261893
70,0.20559159946560193,0.9395020835460995
71,0.22227357804285328,0.9391110159546071
72,0.20456333732772516,0.9387214775009997
73,0.22086451800227486,0.9383334380468434
74,0.20358062877192484,0.9379468684190112
75,0.21951189785224062,0.9375617403654295
76,0.2026407704014594,0.9371780265136623
77,0.21821271723706015,0.9367957003308631
78,0.20174126329336833,0.9364147360879505
79,0.216964187739157,0.9360351088239796
80,0.20087979372973638,0.9356567943129126
81,0.21576371303417802,0.9352797690331376
82,0.20005421615213148,0.9349040101376518
83,0.21460887143744545,0.9345294954260607
84,0.1992625380248751,0.9341562033186653
